tvg_id,epg_id_matched,source,duplicate_sources
24HourFreeMovies.us@SD,24HourFreeMovies.us@SD,grabber-raw-guide.xml.gz,
3ABNEnglish.us@SD,3ABNEnglish.us@SD,grabber-raw-guide.xml.gz,
3ABNLatino.us@SD,3ABNLatino.us@SD,grabber-raw-guide.xml.gz,
48Hours.us@US,48Hours.us@US,grabber-raw-guide.xml.gz,
50CentAction.us@SD,50CentAction.us@SD,grabber-raw-guide.xml.gz,
70sCinema.us@SD,70sCinema.us@SD,grabber-raw-guide.xml.gz,
80sRewind.us@SD,80sRewind.us@SD,grabber-raw-guide.xml.gz,
90sThrowback.us@SD,90sThrowback.us@SD,grabber-raw-guide.xml.gz,
ABC.us@East,ABC.us@East,grabber-raw-guide.xml.gz,
AcapulcoShore.us@US,AcapulcoShore.us@US,grabber-raw-guide.xml.gz,
ACCDigitalNetwork.us@SD,ACCDigitalNetwork.us@SD,grabber-raw-guide.xml.gz,
ACCNetwork.us@SD,ACCNetwork.us@SD,grabber-raw-guide.xml.gz,
AccuWeatherNOW.us@SD,AccuWeatherNOW.us@SD,grabber-raw-guide.xml.gz,
AdrenalinaPuraTV.us@SD,AdrenalinaPuraTV.us@SD,grabber-raw-guide.xml.gz,
AE.us@East,AE.us@East,grabber-raw-guide.xml.gz,
AfroLandTV.us@SD,AfroLandTV.us@SD,grabber-raw-guide.xml.gz,
AlientoVision.us@SD,AlientoVision.us@SD,grabber-raw-guide.xml.gz,
ALLBLKGems.us@SD,ALLBLKGems.us@SD,grabber-raw-guide.xml.gz,
AllRealitybyWEtv.us@SD,AllRealitybyWEtv.us@SD,grabber-raw-guide.xml.gz,
AllWeddingsWEtv.us@SD,AllWeddingsWEtv.us@SD,grabber-raw-guide.xml.gz,
AlwaysFunnyVideos.us@SD,AlwaysFunnyVideos.us@SD,grabber-raw-guide.xml.gz,
AMC.us@East,AMC.us@East,grabber-raw-guide.xml.gz,
AMC.us@EastHD,AMC.us@EastHD,grabber-raw-guide.xml.gz,
AMCenEspanol.us@SD,AMCenEspanol.us@SD,grabber-raw-guide.xml.gz,
AmericasTestKitchen.us@SD,AmericasTestKitchen.us@SD,grabber-raw-guide.xml.gz,
AmericasVoice.us@SD,AmericasVoice.us@SD,grabber-raw-guide.xml.gz,
AmericasVoiceNews.us@SD,AmericasVoiceNews.us@SD,grabber-raw-guide.xml.gz,
AMP2.us@SD,AMP2.us@SD,grabber-raw-guide.xml.gz,
AngerManagementChannel.us@SD,AngerManagementChannel.us@SD,grabber-raw-guide.xml.gz,
AnimationPlus.us@SD,AnimationPlus.us@SD,grabber-raw-guide.xml.gz,
AnimexHIDIVE.us@SD,AnimexHIDIVE.us@SD,grabber-raw-guide.xml.gz,
AntiquesRoadshowUK.us@SD,AntiquesRoadshowUK.us@SD,grabber-raw-guide.xml.gz,
AntiquesRoadTrip.us@SD,AntiquesRoadTrip.us@SD,grabber-raw-guide.xml.gz,
AreWeThereYet.us@SD,AreWeThereYet.us@SD,grabber-raw-guide.xml.gz,
AsianCrush.us@SD,AsianCrush.us@SD,grabber-raw-guide.xml.gz,
AtHomewithFamilyHandyman.us@SD,AtHomewithFamilyHandyman.us@SD,grabber-raw-guide.xml.gz,
AutenticHistory.de@SD,AutenticHistory.de@SD,grabber-raw-guide.xml.gz,
AutenticTravel.de@SD,AutenticTravel.de@SD,grabber-raw-guide.xml.gz,
BabyFirst.us@US,BabyFirst.us@US,grabber-raw-guide.xml.gz,
BabySharkTV.us@SD,BabySharkTV.us@SD,grabber-raw-guide.xml.gz,
Backstage.us@SD,Backstage.us@SD,grabber-raw-guide.xml.gz,
BarRescue.us@SD,BarRescue.us@SD,grabber-raw-guide.xml.gz,
Baywatch.us@US,Baywatch.us@US,grabber-raw-guide.xml.gz,
BBCAmerica.us@EastHD,BBCAmerica.us@East,grabber-raw-guide.xml.gz,
BBCEarth.uk@US,BBCEarth.uk@US,grabber-raw-guide.xml.gz,
BBCFood.us@SD,BBCFood.us@SD,grabber-raw-guide.xml.gz,
BBCHomeGarden.us@SD,BBCHomeGarden.us@SD,grabber-raw-guide.xml.gz,
beINSportsenEspanol.qa@SD,beINSportsenEspanol.qa@SD,grabber-raw-guide.xml.gz,
beINSportsUSA.us@SD,beINSportsUSA.us@SD,grabber-raw-guide.xml.gz,
beINSPORTSXTRA.us@SD,beINSPORTSXTRA.us@SD,grabber-raw-guide.xml.gz,
beINSPORTSXTRAenEspanol.us@SD,beINSPORTSXTRAenEspanol.us@SD,grabber-raw-guide.xml.gz,
BellatorMMA.us@SD,BellatorMMA.us@SD,grabber-raw-guide.xml.gz,
BestofDrPhil.us@SD,BestofDrPhil.us@SD,grabber-raw-guide.xml.gz,
BET.us@East,BET.us@East,grabber-raw-guide.xml.gz,
BETClassicsPlutoTV.us@SD,BETClassicsPlutoTV.us@SD,grabber-raw-guide.xml.gz,
BETGospel.us@SD,BETGospel.us@SD,grabber-raw-guide.xml.gz,
BETHer.us@East,BETHer.us@East,grabber-raw-guide.xml.gz,
BETJams.us@SD,BETJams.us@SD,grabber-raw-guide.xml.gz,
BETPlutoTV.us@US,BETPlutoTV.us@US,grabber-raw-guide.xml.gz,
BETSoul.us@SD,BETSoul.us@SD,grabber-raw-guide.xml.gz,
