tvg_id,epg_id_matched,source,duplicate_sources
00sReplay.us@SD,00sReplay.pluto,epg-xdbezrvvbu.xml.gz,
24HourFreeMovies.us@SD,24HourFreeMovies.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
3ABNEnglish.us@SD,3ABNEnglish.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
3ABNLatino.us@SD,3ABNLatino.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
48Hours.us@US,48Hours.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
50CentAction.us@SD,50CentAction.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
70sCinema.us@SD,70sCinema.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
80sRewind.us@SD,80sRewind.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
90sKidsTV2.us@SD,90sKidsTV2.pluto,epg-xdbezrvvbu.xml.gz,
90sThrowback.us@SD,90sThrowback.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ABC.us@East,ABC.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
ABC.us@West,ABC.us@West,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
AcapulcoShore.us@US,AcapulcoShore.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ACCDigitalNetwork.us@SD,ACCDigitalNetwork.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ACCNetwork.us@SD,ACCNetwork.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
AccuWeatherNOW.us@SD,AccuWeatherNOW.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
AceTV.us@SD,ACEtv.us,epg-xdbezrvvbu.xml.gz,
AdrenalinaPuraTV.us@SD,AdrenalinaPuraTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
AE.us@East,AE.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
AfroLandTV.us@SD,AfroLandTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
AlientoVision.us@SD,AlientoVision.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
ALLBLKGems.us@SD,ALLBLKGems.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
AllRealitybyWEtv.us@SD,AllRealitybyWEtv.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
AllWeddingsWEtv.us@SD,AllWeddingsWEtv.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
AltitudeSports.us@SD,AltitudeSports.us,epg-xdbezrvvbu.xml.gz,
AlwaysFunnyVideos.us@SD,AlwaysFunnyVideos.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
