tvg_id,epg_id_matched,source,duplicate_sources
00sReplay.us@SD,00sReplay.us@SD,urls-epg,
24HourFreeMovies.us@SD,24HourFreeMovies.us@SD,grabber-epg,
3ABNEnglish.us@SD,3ABNEnglish.us@SD,grabber-epg,
3ABNLatino.us@SD,3ABNLatino.us@SD,grabber-epg,
48Hours.us@US,48Hours.us@US,grabber-epg,urls-epg
50CentAction.us@SD,50CentAction.us@SD,grabber-epg,urls-epg
70sCinema.us@SD,70sCinema.us@SD,grabber-epg,urls-epg
80sRewind.us@SD,80sRewind.us@SD,grabber-epg,urls-epg
90sKidsTV2.us@SD,90sKidsTV2.us@SD,urls-epg,
90sThrowback.us@SD,90sThrowback.us@SD,grabber-epg,urls-epg
ABC.us@East,ABC.us@East,grabber-epg,
ABC.us@West,ABC.us@West,grabber-epg,
AcapulcoShore.us@US,AcapulcoShore.us@US,grabber-epg,urls-epg
ACCDigitalNetwork.us@SD,ACCDigitalNetwork.us@SD,grabber-epg,urls-epg
ACCNetwork.us@SD,ACCNetwork.us@SD,grabber-epg,urls-epg
AccuWeatherNOW.us@SD,AccuWeatherNOW.us@SD,grabber-epg,
AceTV.us@SD,AceTV.us@SD,urls-epg,
AdrenalinaPuraTV.us@SD,AdrenalinaPuraTV.us@SD,grabber-epg,
AE.us@East,AE.us@East,grabber-epg,
AfroLandTV.us@SD,AfroLandTV.us@SD,grabber-epg,
AlientoVision.us@SD,AlientoVision.us@SD,grabber-epg,
ALLBLKGems.us@SD,ALLBLKGems.us@SD,grabber-epg,urls-epg
AllRealitybyWEtv.us@SD,AllRealitybyWEtv.us@SD,grabber-epg,
AllWeddingsWEtv.us@SD,AllWeddingsWEtv.us@SD,grabber-epg,
AltitudeSports.us@SD,AltitudeSports.us@SD,urls-epg,
AlwaysFunnyVideos.us@SD,AlwaysFunnyVideos.us@SD,grabber-epg,
AMC.us@EastHD,AMC.us@EastHD,grabber-epg,urls-epg
AMCenEspanol.us@SD,AMCenEspanol.us@SD,grabber-epg,
AMCPlus.us@SD,AMCPlus.us@SD,urls-epg,
AmericasTestKitchen.us@SD,AmericasTestKitchen.us@SD,grabber-epg,
AmericasVoice.us@SD,AmericasVoice.us@SD,grabber-epg,
