tvg_id,epg_id_matched,source,duplicate_sources
00sReplay.us@SD,00sReplay.pluto,epg-xdbezrvvbu.xml.gz,
48Hours.us@US,48Hours.pluto,epg-xdbezrvvbu.xml.gz,
50CentAction.us@SD,50CentAction.us,epg-xdbezrvvbu.xml.gz,
70sCinema.us@SD,70sCinema.pluto,epg-xdbezrvvbu.xml.gz,
80sRewind.us@SD,80sRewind.pluto,epg-xdbezrvvbu.xml.gz,
90sKidsTV2.us@SD,90sKidsTV2.pluto,epg-xdbezrvvbu.xml.gz,
90sThrowback.us@SD,90sThrowback.pluto,epg-xdbezrvvbu.xml.gz,
AcapulcoShore.us@US,AcapulcoShore.pluto,epg-xdbezrvvbu.xml.gz,
ACCDigitalNetwork.us@SD,ACCDigitalNetwork.us,epg-xdbezrvvbu.xml.gz,
ACCNetwork.us@SD,ACCNetwork.us,epg-xdbezrvvbu.xml.gz,
AceTV.us@SD,ACEtv.us,epg-xdbezrvvbu.xml.gz,
ALLBLKGems.us@SD,ALLBLKGems.us,epg-xdbezrvvbu.xml.gz,
AltitudeSports.us@SD,AltitudeSports.us,epg-xdbezrvvbu.xml.gz,
AMC.us@East,AMC.ca,epg-xdbezrvvbu.xml.gz,
AMCPlus.us@SD,AMCPlus.us,epg-xdbezrvvbu.xml.gz,
AMGTV.us@SD,AMGTV.us,epg-xdbezrvvbu.xml.gz,
AnimexHIDIVE.us@SD,ANIMExHIDIVE.pluto,epg-xdbezrvvbu.xml.gz,
AntennaTV.us@SD,AntennaTV.us,epg-xdbezrvvbu.xml.gz,
AntiquesRoadshowUK.us@SD,AntiquesRoadshowUK.us,epg-xdbezrvvbu.xml.gz,
AntiquesRoadTrip.us@SD,AntiquesRoadTrip.pluto,epg-xdbezrvvbu.xml.gz,
Armenia1.am@America,Armenia1.fr,epg-xdbezrvvbu.xml.gz,
ARYDigital.pk@USA,ARYDigital.uk,epg-xdbezrvvbu.xml.gz,
AsianCrush.us@SD,AsianCrush.us,epg-xdbezrvvbu.xml.gz,
Aspire.us@SD,ASPiRE.us,epg-xdbezrvvbu.xml.gz,
AtHomewithFamilyHandyman.us@SD,AtHomewithFamilyHandyman.us,epg-xdbezrvvbu.xml.gz,
AWE.us@SD,AWE.us,epg-xdbezrvvbu.xml.gz,
AWEPlus.us@SD,AWEPlus.us,epg-xdbezrvvbu.xml.gz,
AXSTV.us@SD,AXSTV.us,epg-xdbezrvvbu.xml.gz,
B4UMovies.in@USA,B4UMovies.ca,epg-xdbezrvvbu.xml.gz,
BabyFirst.us@US,BabyFirst.us,epg-xdbezrvvbu.xml.gz,
BabySharkTV.us@SD,BabySharkTV.pluto,epg-xdbezrvvbu.xml.gz,
BabyTV.uk@LatinAmerica,BabyTV.ca,epg-xdbezrvvbu.xml.gz,
BarRescue.us@SD,BarRescue.pluto,epg-xdbezrvvbu.xml.gz,
BBCAmerica.us@EastHD,BBCAmerica.us,epg-xdbezrvvbu.xml.gz,
BBCEarth.uk@US,BBCEarth.ca,epg-xdbezrvvbu.xml.gz,
BBCFood.us@SD,BBCFood.us,epg-xdbezrvvbu.xml.gz,
beINSportsenEspanol.qa@SD,beINSportsEnEspanol.us,epg-xdbezrvvbu.xml.gz,
beINSPORTSXTRA.us@SD,beINSportsXtra.us,epg-xdbezrvvbu.xml.gz,
BellatorMMA.us@SD,BellatorMMA.pluto,epg-xdbezrvvbu.xml.gz,
BET.us@East,BET.fr,epg-xdbezrvvbu.xml.gz,
BETCinema.us@SD,BETCinema.pluto,epg-xdbezrvvbu.xml.gz,
BETComedyMovies.us@SD,BETComedyMovies.pluto,epg-xdbezrvvbu.xml.gz,
BETGospel.us@SD,BETGospel.us,epg-xdbezrvvbu.xml.gz,
BETHer.us@West,BETHer.us,epg-xdbezrvvbu.xml.gz,
BETJams.us@SD,BETJams.us,epg-xdbezrvvbu.xml.gz,
BETPlutoTV.us@US,BETPlutoTV.pluto,epg-xdbezrvvbu.xml.gz,
BETSoul.us@SD,BETSOUL.us,epg-xdbezrvvbu.xml.gz,
BETThrowbacks.us@SD,BETThrowbacks.pluto,epg-xdbezrvvbu.xml.gz,
BETVisionaries.us@SD,BETVisionaries.pluto,epg-xdbezrvvbu.xml.gz,
BeverlyHillbillies.us@US,BeverlyHillbillies.pluto,epg-xdbezrvvbu.xml.gz,
BeverlyHills90210.us@SD,BeverlyHills90210.pluto,epg-xdbezrvvbu.xml.gz,
BeyondtheGates.us@SD,BeyondtheGates.pluto,epg-xdbezrvvbu.xml.gz,
BigBrother.us@SD,BigBrother.pluto,epg-xdbezrvvbu.xml.gz,
BilliardTV.us@SD,BilliardTV.us,epg-xdbezrvvbu.xml.gz,
BlackFamilySitcoms.us@SD,BlackFamilySitcoms.pluto,epg-xdbezrvvbu.xml.gz,
BlackInkCrew.us@SD,BlackInkCrew.pluto,epg-xdbezrvvbu.xml.gz,
BlazeLive.us@SD,BlazeLive.pluto,epg-xdbezrvvbu.xml.gz,
BloombergOriginals.us@US,BloombergOriginals.us,epg-xdbezrvvbu.xml.gz,
BlueBloods.us@SD,BlueBloods.pluto,epg-xdbezrvvbu.xml.gz,
Bonanza.us@SD,Bonanza.pluto,epg-xdbezrvvbu.xml.gz,
bonappetit.us@SD,BonAppetit.us,epg-xdbezrvvbu.xml.gz,
BounceXL.us@SD,BounceXL.us,epg-xdbezrvvbu.xml.gz,
BratTV.us@SD,BratTV.us,epg-xdbezrvvbu.xml.gz,
Bravo.us@East,Bravo.ca,epg-xdbezrvvbu.xml.gz,
BritBoxMysteries.us@SD,BritBoxMysteries.pluto,epg-xdbezrvvbu.xml.gz,
Buzzr.us@SD,BUZZR.us,epg-xdbezrvvbu.xml.gz,
BYUTV.us@SD,BYUtv.us,epg-xdbezrvvbu.xml.gz,
CarChase.us@SD,CarChase.us,epg-xdbezrvvbu.xml.gz,
CatchyComedy.us@SD,CatchyComedy.us,epg-xdbezrvvbu.xml.gz,
CatholicTV.us@SD,CatholicTV.us,epg-xdbezrvvbu.xml.gz,
CBNNews.us@SD,CBNNews.us,epg-xdbezrvvbu.xml.gz,
CBSNewsBaltimore.us@SD,CBSNewsBaltimore.pluto,epg-xdbezrvvbu.xml.gz,
CBSNewsBayArea.us@SD,CBSNewsBayArea.us,epg-xdbezrvvbu.xml.gz,
CBSNewsBoston.us@SD,CBSNewsBoston.pluto,epg-xdbezrvvbu.xml.gz,
CBSNewsChicago.us@SD,CBSNewsChicago.pluto,epg-xdbezrvvbu.xml.gz,
CBSNewsColorado.us@SD,CBSNewsColorado.pluto,epg-xdbezrvvbu.xml.gz,
CBSNewsDetroit.us@SD,CBSNewsDetroit.pluto,epg-xdbezrvvbu.xml.gz,
CBSNewsLosAngeles.us@SD,CBSNewsLosAngeles.pluto,epg-xdbezrvvbu.xml.gz,
CBSNewsMiami.us@SD,CBSNewsMiami.pluto,epg-xdbezrvvbu.xml.gz,
CBSNewsMinnesota.us@SD,CBSNewsMinnesota.pluto,epg-xdbezrvvbu.xml.gz,
CBSNewsNewYork.us@SD,CBSNewsNewYork.pluto,epg-xdbezrvvbu.xml.gz,
CBSNewsPittsburgh.us@SD,CBSNewsPittsburgh.us,epg-xdbezrvvbu.xml.gz,
CBSNewsSacramento.us@SD,CBSNewsSacramento.pluto,epg-xdbezrvvbu.xml.gz,
CBSSportsGolazoNetwork.us@SD,CBSSportsGolazoNetwork.us,epg-xdbezrvvbu.xml.gz,
CBSSportsHQ.us@SD,CBSSportsHQ.us,epg-xdbezrvvbu.xml.gz,
Choppertown.us@SD,Choppertown.us,epg-xdbezrvvbu.xml.gz,
CineAdrenalina.us@SD,Cineadrenalina.pluto,epg-xdbezrvvbu.xml.gz,
CineAmor.us@SD,CineAmor.pluto,epg-xdbezrvvbu.xml.gz,
Cineaventura.us@SD,Cineaventura.pluto,epg-xdbezrvvbu.xml.gz,
CinePremiere.us@SD,CinePremiere.pluto,epg-xdbezrvvbu.xml.gz,
CineSony.us@SD,CineSONY.us,epg-xdbezrvvbu.xml.gz,
CineTerror.us@US,Cineterror.pluto,epg-xdbezrvvbu.xml.gz,
CinevaultWesterns.us@SD,CINEVAULTWesterns.us,epg-xdbezrvvbu.xml.gz,
Classica.us@SD,Classica.de,epg-xdbezrvvbu.xml.gz,
ClassicCinema.us@SD,ClassicCinema.us,epg-xdbezrvvbu.xml.gz,
ClassicMoviesChannel.us@SD,ClassicMoviesChannel.pluto,epg-xdbezrvvbu.xml.gz,
ClassicMovieWesterns.us@SD,ClassicMovieWesterns.pluto,epg-xdbezrvvbu.xml.gz,
ClassicTVComedy.us@SD,ClassicTVComedy.pluto,epg-xdbezrvvbu.xml.gz,
ClassicTVCrimeDrama.us@SD,ClassicTVCrimeDrama.pluto,epg-xdbezrvvbu.xml.gz,
ClassicTVDrama.us@SD,ClassicTVDrama.pluto,epg-xdbezrvvbu.xml.gz,
CleoTV.us@SD,CleoTV.us,epg-xdbezrvvbu.xml.gz,
CMT.us@East,CMT.ca,epg-xdbezrvvbu.xml.gz,
CMTEqualPlay.us@SD,CMTEqualPlay.pluto,epg-xdbezrvvbu.xml.gz,
CMTV.us@SD,CMTV.ca,epg-xdbezrvvbu.xml.gz,
CNBC.us@SD,CNBC.au,epg-xdbezrvvbu.xml.gz,
ComedyCentral.us@East,ComedyCentral.de,epg-xdbezrvvbu.xml.gz,
ComedyCentralPlutoTV.us@US,ComedyCentralPlutoTV.pluto,epg-xdbezrvvbu.xml.gz,
ComedyDynamics.us@SD,ComedyDynamics.us,epg-xdbezrvvbu.xml.gz,
ComedyTV.us@SD,ComedyTV.us,epg-xdbezrvvbu.xml.gz,
Comet.us@SD,Comet.us,epg-xdbezrvvbu.xml.gz,
Cops.us@SD,COPS.pluto,epg-xdbezrvvbu.xml.gz,
CornerstoneTV.us@SD,CornerstoneTV.us,epg-xdbezrvvbu.xml.gz,
CourtTV.us@SD,CourtTV.uk,epg-xdbezrvvbu.xml.gz,
CoziTV.us@SD,CoziTV.us,epg-xdbezrvvbu.xml.gz,
CrimePlusInvestigation.us@SD,CrimePlusInvestigation.ca,epg-xdbezrvvbu.xml.gz,
Crunchyroll.us@SD,Crunchyroll.us,epg-xdbezrvvbu.xml.gz,
CSI.us@SD,CSI.paramount+,epg-xdbezrvvbu.xml.gz,
CSPAN.us@SD,CSPAN.us,epg-xdbezrvvbu.xml.gz,
CSPAN2.us@SD,CSPAN2.us,epg-xdbezrvvbu.xml.gz,
CTN.us@SD,CTN.us,epg-xdbezrvvbu.xml.gz,
CuriosityNOW.de@EN,CuriosityNOW.us,epg-xdbezrvvbu.xml.gz,
Dabl.us@SD,Dabl.us,epg-xdbezrvvbu.xml.gz,
DangerTV.us@SD,DangerTV.us,epg-xdbezrvvbu.xml.gz,
DatingDisasters.us@SD,DatingDisasters.pluto,epg-xdbezrvvbu.xml.gz,
DealorNoDeal.us@SD,DealorNoDeal.us,epg-xdbezrvvbu.xml.gz,
Degrassi.us@US,Degrassi.pluto,epg-xdbezrvvbu.xml.gz,
DiscoveryTurbo.us@SD,DiscoveryTurbo.au,epg-xdbezrvvbu.xml.gz,
DisneyChannel.us@East,DisneyChannel.ca,epg-xdbezrvvbu.xml.gz,
DisneyJunior.us@East,DisneyJunior.fr,epg-xdbezrvvbu.xml.gz,
DisneyXD.us@West,DisneyXD.us,epg-xdbezrvvbu.xml.gz,
DoctorWhoClassic.us@US,DoctorWhoClassic.pluto,epg-xdbezrvvbu.xml.gz,
DogtheBountyHunter.us@US,DogtheBountyHunter.pluto,epg-xdbezrvvbu.xml.gz,
DogTV.us@SD,DogTV.us,epg-xdbezrvvbu.xml.gz,
DoveChannel.us@SD,DoveChannel.us,epg-xdbezrvvbu.xml.gz,
DraftKingsNetwork.us@SD,DraftKingsNetwork.us,epg-xdbezrvvbu.xml.gz,
Dynasty.us@SD,Dynasty.pluto,epg-xdbezrvvbu.xml.gz,
EbonyTVbyLionsgate.us@SD,EbonyTVbyLionsgate.us,epg-xdbezrvvbu.xml.gz,
EKeepingUp.us@SD,EKeepingUp.us,epg-xdbezrvvbu.xml.gz,
ElectricNow.us@SD,ElectricNow.us,epg-xdbezrvvbu.xml.gz,
ESPNDeportes.us@SD,ESPNDeportes.us,epg-xdbezrvvbu.xml.gz,
ESPNews.us@SD,ESPNEWS.us,epg-xdbezrvvbu.xml.gz,
ESPNU.us@SD,ESPNU.us,epg-xdbezrvvbu.xml.gz,
EstrellaNews.us@SD,EstrellaNews.pluto,epg-xdbezrvvbu.xml.gz,
EstrellaTV.us@SD,EstrellaTV.us,epg-xdbezrvvbu.xml.gz,
EWTN.us@English,EWTN.ca,epg-xdbezrvvbu.xml.gz,
F1Channel.ie@US,F1Channel.us,epg-xdbezrvvbu.xml.gz,
FailArmy.us@US,FailArmy.us,epg-xdbezrvvbu.xml.gz,
FamilyTies.us@SD,FamilyTies.pluto,epg-xdbezrvvbu.xml.gz,
FanDuelRacing.us@SD,FanDuelRacing.us,epg-xdbezrvvbu.xml.gz,
FanDuelTV.us@SD,FanDuelTV.us,epg-xdbezrvvbu.xml.gz,
FearFactor.us@US,FearFactor.us,epg-xdbezrvvbu.xml.gz,
FeelGoodDrama.us@SD,FeelGoodDrama.pluto,epg-xdbezrvvbu.xml.gz,
FETV.us@SD,FETV.us,epg-xdbezrvvbu.xml.gz,
FilmRiseAnime.us@SD,FilmRiseAnime.us,epg-xdbezrvvbu.xml.gz,
FilmRiseClassicTV.us@SD,FilmRiseClassicTV.us,epg-xdbezrvvbu.xml.gz,
FilmRiseWestern.us@SD,FilmRiseWestern.us,epg-xdbezrvvbu.xml.gz,
FITE247.us@SD,FITE247.us,epg-xdbezrvvbu.xml.gz,
FlicksofFury.us@SD,FlicksofFury.pluto,epg-xdbezrvvbu.xml.gz,
Flix.us@East,FLIX.us,epg-xdbezrvvbu.xml.gz,
ForensicFiles.us@SD,ForensicFiles.pluto,epg-xdbezrvvbu.xml.gz,
ForeverKids.us@SD,ForeverKids.pluto,epg-xdbezrvvbu.xml.gz,
Fox.us@East,FOX.ru,epg-xdbezrvvbu.xml.gz,
FoxDeportes.us@SD,FoxDeportes.us,epg-xdbezrvvbu.xml.gz,
FoxNewsChannel.us@SD,FoxNewsChannel.ca,epg-xdbezrvvbu.xml.gz,
FoxSoccerPlus.us@SD,FoxSoccerPlus.us,epg-xdbezrvvbu.xml.gz,
FoxSoul.us@SD,FOXSOUL.us,epg-xdbezrvvbu.xml.gz,
FoxSports1.us@HD,FoxSports1.us,epg-xdbezrvvbu.xml.gz,
FoxSports2.us@HD,FoxSports2.us,epg-xdbezrvvbu.xml.gz,
FoxWeather.us@SD,FOXWeather.us,epg-xdbezrvvbu.xml.gz,
Freeform.us@East,Freeform.us,epg-xdbezrvvbu.xml.gz,
FreeSpeechTV.us@SD,FreeSpeechTV.us,epg-xdbezrvvbu.xml.gz,
FTFSports.us@SD,FTFSports.us,epg-xdbezrvvbu.xml.gz,
FuboSportsNetwork.us@SD,fuboSportsNetwork.ca,epg-xdbezrvvbu.xml.gz,
FunnyAF.us@SD,FunnyAF.pluto,epg-xdbezrvvbu.xml.gz,
Fuse.us@East,Fuse.us,epg-xdbezrvvbu.xml.gz,
FX.us@East,FX.ca,epg-xdbezrvvbu.xml.gz,
FXX.us@East,FXX.ca,epg-xdbezrvvbu.xml.gz,
Galavision.us@East,Galavision.us,epg-xdbezrvvbu.xml.gz,
GameShowCentral.us@SD,GameShowCentral.us,epg-xdbezrvvbu.xml.gz,
GameShowNetwork.us@East,GameShowNetwork.ca,epg-xdbezrvvbu.xml.gz,
GarfieldandFriends.us@US,GarfieldandFriends.pluto,epg-xdbezrvvbu.xml.gz,
GemShoppingNetwork.us@SD,GEMShoppingNetwork.us,epg-xdbezrvvbu.xml.gz,
GolazoNetwork.us@SD,GolazoNetwork.pluto,epg-xdbezrvvbu.xml.gz,
GolfChannel.us@SD,GolfChannel.ca,epg-xdbezrvvbu.xml.gz,
GoTraveler.us@SD,GoTraveler.us,epg-xdbezrvvbu.xml.gz,
GoUSATV.us@SD,GoUSATV.us,epg-xdbezrvvbu.xml.gz,
GravitasMovies.us@SD,GravitasMovies.us,epg-xdbezrvvbu.xml.gz,
GreatAmericanFamily.us@SD,GreatAmericanFamily.us,epg-xdbezrvvbu.xml.gz,
GreatEntertainmentTelevision.us@SD,GreatEntertainmentTelevision.us,epg-xdbezrvvbu.xml.gz,
Grit.us@SD,Grit.us,epg-xdbezrvvbu.xml.gz,
GritXtra.us@SD,GritXtra.us,epg-xdbezrvvbu.xml.gz,
Gunsmoke.us@SD,Gunsmoke.pluto,epg-xdbezrvvbu.xml.gz,
HallmarkChannel.us@East,HallmarkChannel.us,epg-xdbezrvvbu.xml.gz,
HallmarkFamily.us@SD,HallmarkFamily.us,epg-xdbezrvvbu.xml.gz,
HallmarkMystery.us@East,HallmarkMystery.us,epg-xdbezrvvbu.xml.gz,
HappyDays.us@SD,HappyDays.pluto,epg-xdbezrvvbu.xml.gz,
HauntTV.ca@SD,HauntTV.us,epg-xdbezrvvbu.xml.gz,
Heartland.us@Web,Heartland.pluto,epg-xdbezrvvbu.xml.gz,
History.us@West,History.ca,epg-xdbezrvvbu.xml.gz,
HistoryHit.uk@SD,HistoryHit.us,epg-xdbezrvvbu.xml.gz,
Homeful.ca@US,HOMEFUL.us,epg-xdbezrvvbu.xml.gz,
HomeMadeNation.us@SD,HomeMadeNation.us,epg-xdbezrvvbu.xml.gz,
HotBench.us@SD,HotBench.pluto,epg-xdbezrvvbu.xml.gz,
